timestamp,event_severity,recommended_action,original_predicted_load,estimated_reduction_kw,reduction_percent,new_predicted_load,optimization_score,battery_soc_percent,recommendation,approval_status
2017-08-11 16:00:00,ELEVATED,COMBINED_ACTION,550.87,71.37,12.96,479.5,29.53,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-08-14 15:00:00,ELEVATED,COMBINED_ACTION,551.23,86.42,15.68,464.81,40.82,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-08-14 16:00:00,ELEVATED,COMBINED_ACTION,563.08,74.64,13.26,488.44,31.98,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-08-15 15:00:00,ELEVATED,COMBINED_ACTION,551.12,85.27,15.47,465.84,39.95,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-08-15 16:00:00,ELEVATED,BATTERY_DISCHARGE,564.9,25.0,4.43,539.9,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-16 13:00:00,ELEVATED,COMBINED_ACTION,557.54,83.51,14.98,474.03,38.63,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-08-16 15:00:00,ELEVATED,BATTERY_DISCHARGE,566.84,25.0,4.41,541.84,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-16 16:00:00,HIGH,BATTERY_DISCHARGE,589.22,25.0,4.24,564.22,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-17 13:00:00,ELEVATED,BATTERY_DISCHARGE,558.7,25.0,4.47,533.7,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-17 14:00:00,ELEVATED,BATTERY_DISCHARGE,561.84,25.0,4.45,536.84,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-17 15:00:00,ELEVATED,BATTERY_DISCHARGE,572.85,25.0,4.36,547.85,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-17 16:00:00,ELEVATED,COMBINED_ACTION,559.21,82.4,14.74,476.81,37.8,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-08-17 17:00:00,ELEVATED,BATTERY_DISCHARGE,552.84,25.0,4.52,527.84,6.75,77.5,Discharge the simulated campus battery during the peak period.,PENDING
