timestamp,event_severity,executed_action,approval_status,expected_load_without_action,expected_reduction_kw,expected_load_after_action,execution_factor,achieved_reduction_kw,observed_load_after_action,performance_ratio_percent,verification_status,needs_replanning
2017-08-11 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,550.87,19.28,531.59,0.908,17.5,533.37,90.78,SUCCESS,False
2017-08-11 16:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,550.87,27.09,523.78,0.954,25.84,525.03,95.39,SUCCESS,False
2017-08-11 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,550.87,25.0,525.87,1.039,25.98,524.89,103.91,SUCCESS,False
2017-08-11 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,550.87,71.37,479.5,0.833,59.45,491.42,83.3,SUCCESS,False
2017-08-14 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,551.23,20.91,530.32,0.927,19.38,531.85,92.69,SUCCESS,False
2017-08-14 15:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,551.23,40.51,510.72,0.778,31.53,519.7,77.84,UNDERPERFORMED,True
2017-08-14 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,551.23,25.0,526.23,0.786,19.65,531.58,78.6,UNDERPERFORMED,True
2017-08-14 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,551.23,86.42,464.81,0.998,86.22,465.01,99.76,SUCCESS,False
2017-08-14 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,563.08,19.55,543.52,0.802,15.67,547.41,80.17,SUCCESS,False
2017-08-14 16:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,563.08,30.09,532.99,0.943,28.38,534.7,94.32,SUCCESS,False
2017-08-14 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,563.08,25.0,538.08,0.828,20.7,542.38,82.79,SUCCESS,False
2017-08-14 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,563.08,74.64,488.44,0.75,56.01,507.07,75.04,UNDERPERFORMED,True
2017-08-15 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,551.12,19.19,531.93,0.967,18.56,532.56,96.72,SUCCESS,False
2017-08-15 15:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,551.12,41.09,510.03,0.874,35.9,515.22,87.37,SUCCESS,False
2017-08-15 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,551.12,25.0,526.12,0.838,20.94,530.18,83.77,SUCCESS,False
2017-08-15 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,551.12,85.27,465.84,0.864,73.64,477.48,86.36,SUCCESS,False
2017-08-15 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,564.9,17.44,547.46,0.769,13.42,551.48,76.93,UNDERPERFORMED,True
2017-08-15 16:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,564.9,0.0,564.9,1.048,0.0,564.9,0.0,UNDERPERFORMED,True
2017-08-15 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,564.9,25.0,539.9,0.957,23.94,540.96,95.74,SUCCESS,False
2017-08-15 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,564.9,42.44,522.46,0.939,39.85,525.05,93.89,SUCCESS,False
2017-08-16 13:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,557.54,17.9,539.63,0.882,15.79,541.75,88.2,SUCCESS,False
2017-08-16 13:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,557.54,40.61,516.93,0.986,40.05,517.49,98.63,SUCCESS,False
2017-08-16 13:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,557.54,25.0,532.54,0.819,20.48,537.06,81.94,SUCCESS,False
2017-08-16 13:00:00,ELEVATED,COMBINED_ACTION,APPROVED,557.54,83.51,474.03,0.891,74.43,483.11,89.13,SUCCESS,False
2017-08-16 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,566.84,19.2,547.64,0.925,17.77,549.07,92.55,SUCCESS,False
2017-08-16 15:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,566.84,0.0,566.84,0.779,0.0,566.84,0.0,UNDERPERFORMED,True
2017-08-16 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,566.84,25.0,541.84,0.787,19.67,547.17,78.69,UNDERPERFORMED,True
2017-08-16 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,566.84,44.2,522.64,0.989,43.7,523.14,98.87,SUCCESS,False
2017-08-16 16:00:00,HIGH,HVAC_SETPOINT_ADJUSTMENT,APPROVED,589.22,22.6,566.62,0.995,22.5,566.72,99.54,SUCCESS,False
2017-08-16 16:00:00,HIGH,EV_CHARGING_SHIFT,APPROVED,589.22,0.0,589.22,0.782,0.0,589.22,0.0,UNDERPERFORMED,True
2017-08-16 16:00:00,HIGH,BATTERY_DISCHARGE,APPROVED,589.22,25.0,564.22,0.831,20.79,568.43,83.15,SUCCESS,False
2017-08-16 16:00:00,HIGH,COMBINED_ACTION,APPROVED,589.22,47.6,541.62,0.825,39.26,549.96,82.48,SUCCESS,False
2017-08-17 13:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,558.7,18.85,539.85,1.029,19.4,539.3,102.94,SUCCESS,False
2017-08-17 13:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,558.7,0.0,558.7,1.04,0.0,558.7,0.0,UNDERPERFORMED,True
2017-08-17 13:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,558.7,25.0,533.7,0.795,19.86,538.84,79.46,UNDERPERFORMED,True
2017-08-17 13:00:00,ELEVATED,COMBINED_ACTION,APPROVED,558.7,43.85,514.85,0.841,36.88,521.82,84.11,SUCCESS,False
2017-08-17 14:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,561.84,22.94,538.9,0.863,19.8,542.04,86.31,SUCCESS,False
2017-08-17 14:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,561.84,0.0,561.84,0.994,0.0,561.84,0.0,UNDERPERFORMED,True
2017-08-17 14:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,561.84,25.0,536.84,0.804,20.09,541.75,80.38,SUCCESS,False
2017-08-17 14:00:00,ELEVATED,COMBINED_ACTION,APPROVED,561.84,47.94,513.9,0.999,47.91,513.93,99.94,SUCCESS,False
2017-08-17 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,572.85,23.07,549.78,0.764,17.64,555.21,76.44,UNDERPERFORMED,True
2017-08-17 15:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,572.85,0.0,572.85,0.913,0.0,572.85,0.0,UNDERPERFORMED,True
2017-08-17 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,572.85,25.0,547.85,0.979,24.46,548.39,97.85,SUCCESS,False
2017-08-17 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,572.85,48.07,524.78,1.039,49.93,522.92,103.87,SUCCESS,False
2017-08-17 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,559.21,17.58,541.63,1.011,17.78,541.43,101.12,SUCCESS,False
2017-08-17 16:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,559.21,39.82,519.39,0.983,39.13,520.08,98.26,SUCCESS,False
2017-08-17 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,559.21,25.0,534.21,1.008,25.2,534.01,100.79,SUCCESS,False
2017-08-17 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,559.21,82.4,476.81,0.797,65.64,493.57,79.66,UNDERPERFORMED,True
2017-08-17 17:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,552.84,14.06,538.78,0.879,12.36,540.48,87.94,SUCCESS,False
2017-08-17 17:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,552.84,0.0,552.84,0.97,0.0,552.84,0.0,UNDERPERFORMED,True
2017-08-17 17:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,552.84,25.0,527.84,0.761,19.01,533.83,76.05,UNDERPERFORMED,True
2017-08-17 17:00:00,ELEVATED,COMBINED_ACTION,APPROVED,552.84,39.06,513.78,1.0,39.04,513.8,99.96,SUCCESS,False
2017-08-18 13:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,551.48,22.85,528.62,0.95,21.7,529.78,94.97,SUCCESS,False
2017-08-18 13:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,551.48,0.0,551.48,1.005,0.0,551.48,0.0,UNDERPERFORMED,True
2017-08-18 13:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,551.48,25.0,526.48,0.981,24.52,526.96,98.08,SUCCESS,False
2017-08-18 13:00:00,ELEVATED,COMBINED_ACTION,APPROVED,551.48,47.85,503.62,1.003,47.99,503.49,100.29,SUCCESS,False
2017-08-22 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,553.23,21.63,531.6,0.807,17.46,535.77,80.74,SUCCESS,False
2017-08-22 16:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,553.23,21.02,532.21,1.041,21.89,531.34,104.12,SUCCESS,False
2017-08-22 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,553.23,25.0,528.23,1.017,25.44,527.79,101.75,SUCCESS,False
2017-08-22 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,553.23,67.65,485.58,0.969,65.55,487.68,96.9,SUCCESS,False
2017-08-24 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,561.48,15.39,546.1,0.914,14.07,547.41,91.45,SUCCESS,False
2017-08-24 15:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,561.48,0.0,561.48,1.034,0.0,561.48,0.0,UNDERPERFORMED,True
2017-08-24 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,561.48,25.0,536.48,0.901,22.52,538.96,90.07,SUCCESS,False
2017-08-24 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,561.48,40.39,521.1,0.758,30.6,530.88,75.76,UNDERPERFORMED,True
2017-08-24 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,APPROVED,555.87,22.5,533.37,0.894,20.12,535.75,89.44,SUCCESS,False
2017-08-24 16:00:00,ELEVATED,EV_CHARGING_SHIFT,APPROVED,555.87,0.0,555.87,0.983,0.0,555.87,0.0,UNDERPERFORMED,True
2017-08-24 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,555.87,25.0,530.87,0.901,22.52,533.35,90.08,SUCCESS,False
