timestamp,event_severity,executed_action,approval_status,expected_load_without_action,expected_reduction_kw,expected_load_after_action,execution_factor,achieved_reduction_kw,observed_load_after_action,performance_ratio_percent,verification_status,needs_replanning
2017-08-11 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,550.87,71.37,479.5,0.862,61.55,489.32,86.24,SUCCESS,False
2017-08-14 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,551.23,86.42,464.81,1.035,89.46,461.77,103.52,SUCCESS,False
2017-08-14 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,563.08,74.64,488.44,0.97,72.37,490.71,96.96,SUCCESS,False
2017-08-15 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,551.12,85.27,465.84,0.93,79.27,471.85,92.96,SUCCESS,False
2017-08-15 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,564.9,25.0,539.9,0.797,19.92,544.98,79.68,UNDERPERFORMED,True
2017-08-16 13:00:00,ELEVATED,COMBINED_ACTION,APPROVED,557.54,83.51,474.03,0.797,66.54,491.0,79.68,UNDERPERFORMED,True
2017-08-16 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,566.84,25.0,541.84,0.767,19.19,547.65,76.74,UNDERPERFORMED,True
2017-08-16 16:00:00,HIGH,BATTERY_DISCHARGE,APPROVED,589.22,25.0,564.22,1.01,25.25,563.97,100.99,SUCCESS,False
2017-08-17 13:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,558.7,25.0,533.7,0.93,23.26,535.44,93.03,SUCCESS,False
2017-08-17 14:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,561.84,25.0,536.84,0.962,24.06,537.78,96.24,SUCCESS,False
2017-08-17 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,572.85,25.0,547.85,0.756,18.9,553.95,75.62,UNDERPERFORMED,True
2017-08-17 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,559.21,82.4,476.81,1.041,85.78,473.43,104.1,SUCCESS,False
2017-08-17 17:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,552.84,25.0,527.84,1.0,24.99,527.85,99.97,SUCCESS,False
2017-08-18 13:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,551.48,25.0,526.48,0.814,20.34,531.14,81.37,SUCCESS,False
2017-08-22 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,553.23,67.65,485.58,0.805,54.43,498.8,80.45,SUCCESS,False
2017-08-24 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,561.48,25.0,536.48,0.805,20.13,541.35,80.5,SUCCESS,False
2017-08-24 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,555.87,25.0,530.87,0.841,21.03,534.84,84.13,SUCCESS,False
2017-08-29 11:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,552.31,25.0,527.31,0.907,22.69,529.62,90.74,SUCCESS,False
2017-08-29 13:00:00,ELEVATED,COMBINED_ACTION,APPROVED,576.12,65.38,510.74,0.88,57.51,518.61,87.96,SUCCESS,False
2017-08-29 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,562.75,25.0,537.75,0.837,20.93,541.82,83.74,SUCCESS,False
2017-08-31 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,560.49,88.88,471.61,0.934,82.97,477.52,93.36,SUCCESS,False
2017-09-01 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,564.38,25.0,539.38,0.792,19.8,544.58,79.18,UNDERPERFORMED,True
2017-09-01 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,569.92,85.85,484.07,0.838,71.91,498.01,83.76,SUCCESS,False
2017-09-05 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,562.14,67.02,495.12,0.86,57.63,504.51,85.99,SUCCESS,False
2017-09-06 14:00:00,ELEVATED,COMBINED_ACTION,APPROVED,553.91,72.47,481.44,0.887,64.27,489.64,88.68,SUCCESS,False
2017-09-06 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,562.0,75.62,486.38,0.986,74.53,487.47,98.56,SUCCESS,False
2017-09-12 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,577.82,73.28,504.54,0.81,59.35,518.47,80.99,SUCCESS,False
2017-09-12 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,575.97,62.84,513.13,0.904,56.82,519.15,90.43,SUCCESS,False
2017-09-13 13:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,564.43,25.0,539.43,0.928,23.19,541.24,92.77,SUCCESS,False
2017-09-13 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,553.14,62.09,491.06,0.764,47.43,505.71,76.39,UNDERPERFORMED,True
2017-09-14 14:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,556.5,25.0,531.5,0.932,23.31,533.19,93.23,SUCCESS,False
2017-09-14 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,568.93,25.0,543.93,0.801,20.03,548.9,80.12,SUCCESS,False
2017-09-14 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,567.53,25.0,542.53,0.77,19.24,548.29,76.95,UNDERPERFORMED,True
2017-09-15 14:00:00,ELEVATED,COMBINED_ACTION,APPROVED,567.03,73.38,493.65,1.035,75.92,491.11,103.47,SUCCESS,False
2017-09-15 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,562.83,25.0,537.83,1.04,25.99,536.84,103.97,SUCCESS,False
2017-09-15 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,559.18,74.33,484.85,0.993,73.77,485.41,99.25,SUCCESS,False
2017-09-18 17:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,561.55,25.0,536.55,0.841,21.03,540.52,84.14,SUCCESS,False
2017-09-19 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,554.2,25.0,529.2,0.779,19.48,534.72,77.93,UNDERPERFORMED,True
2017-09-22 13:00:00,ELEVATED,COMBINED_ACTION,APPROVED,558.62,57.37,501.24,0.955,54.8,503.82,95.53,SUCCESS,False
2017-09-26 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,561.32,67.68,493.64,0.882,59.7,501.62,88.2,SUCCESS,False
2017-09-27 15:00:00,ELEVATED,COMBINED_ACTION,APPROVED,550.87,85.03,465.84,0.787,66.89,483.98,78.66,UNDERPERFORMED,True
2017-09-27 16:00:00,ELEVATED,COMBINED_ACTION,APPROVED,555.51,71.28,484.23,0.899,64.05,491.46,89.86,SUCCESS,False
2017-09-28 13:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,553.03,25.0,528.03,0.76,19.01,534.02,76.03,UNDERPERFORMED,True
2017-09-28 14:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,562.93,25.0,537.93,1.023,25.57,537.36,102.28,SUCCESS,False
2017-10-02 12:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,553.24,25.0,528.24,0.828,20.69,532.55,82.76,SUCCESS,False
2017-10-02 13:00:00,HIGH,COMBINED_ACTION,APPROVED,594.81,72.9,521.92,0.949,69.16,525.65,94.88,SUCCESS,False
2017-10-02 14:00:00,HIGH,BATTERY_DISCHARGE,APPROVED,601.8,25.0,576.8,0.844,21.09,580.71,84.35,SUCCESS,False
2017-10-02 15:00:00,HIGH,BATTERY_DISCHARGE,APPROVED,596.09,25.0,571.09,0.906,22.65,573.44,90.6,SUCCESS,False
2017-10-02 16:00:00,HIGH,COMBINED_ACTION,APPROVED,599.96,72.85,527.12,0.914,66.59,533.37,91.4,SUCCESS,False
2017-10-02 17:00:00,HIGH,BATTERY_DISCHARGE,APPROVED,589.55,25.0,564.55,0.805,20.14,569.41,80.55,SUCCESS,False
2017-10-03 11:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,564.48,25.0,539.48,1.041,26.02,538.46,104.09,SUCCESS,False
2017-10-03 12:00:00,HIGH,BATTERY_DISCHARGE,APPROVED,609.67,25.0,584.67,0.983,24.56,585.11,98.25,SUCCESS,False
2017-10-03 13:00:00,HIGH,COMBINED_ACTION,APPROVED,591.8,65.64,526.16,1.032,67.73,524.07,103.18,SUCCESS,False
2017-10-03 14:00:00,HIGH,COMBINED_ACTION,APPROVED,604.04,69.7,534.34,1.018,70.99,533.05,101.84,SUCCESS,False
2017-10-03 15:00:00,HIGH,COMBINED_ACTION,APPROVED,598.22,73.6,524.63,0.929,68.4,529.82,92.94,SUCCESS,False
2017-10-03 16:00:00,HIGH,COMBINED_ACTION,APPROVED,599.59,61.72,537.87,1.027,63.36,536.23,102.66,SUCCESS,False
2017-10-03 17:00:00,ELEVATED,COMBINED_ACTION,APPROVED,564.55,74.08,490.47,0.777,57.53,507.02,77.65,UNDERPERFORMED,True
2017-10-04 12:00:00,ELEVATED,COMBINED_ACTION,APPROVED,554.09,71.91,482.18,0.809,58.16,495.93,80.88,SUCCESS,False
2017-10-04 13:00:00,CRITICAL,COMBINED_ACTION,APPROVED,618.7,78.05,540.64,0.764,59.6,559.1,76.36,UNDERPERFORMED,True
2017-10-04 14:00:00,HIGH,BATTERY_DISCHARGE,APPROVED,596.26,25.0,571.26,0.848,21.19,575.07,84.76,SUCCESS,False
2017-10-04 15:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,575.76,25.0,550.76,0.867,21.67,554.09,86.66,SUCCESS,False
2017-10-04 16:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,576.29,25.0,551.29,0.831,20.79,555.5,83.14,SUCCESS,False
2017-10-04 17:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,553.58,25.0,528.58,0.999,24.97,528.61,99.86,SUCCESS,False
2017-10-05 12:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,565.24,25.0,540.24,0.857,21.43,543.81,85.7,SUCCESS,False
2017-10-05 13:00:00,HIGH,BATTERY_DISCHARGE,APPROVED,597.91,25.0,572.91,0.834,20.86,577.05,83.43,SUCCESS,False
2017-10-05 14:00:00,HIGH,COMBINED_ACTION,APPROVED,592.46,67.39,525.07,0.913,61.51,530.95,91.28,SUCCESS,False
2017-10-05 15:00:00,HIGH,COMBINED_ACTION,APPROVED,595.36,83.57,511.79,0.792,66.21,529.15,79.23,UNDERPERFORMED,True
2017-10-05 16:00:00,HIGH,COMBINED_ACTION,APPROVED,609.35,72.18,537.18,0.991,71.51,537.84,99.07,SUCCESS,False
2017-10-05 17:00:00,ELEVATED,BATTERY_DISCHARGE,APPROVED,563.44,25.0,538.44,0.772,19.31,544.13,77.24,UNDERPERFORMED,True
