timestamp,temperature_c,relative_humidity_percent,cloud_cover_percent,shortwave_radiation_w_m2,wind_speed_kmh,precipitation_mm
2016-01-01 00:00:00,4.7,88,1,0.0,15.6,0.0
2016-01-01 01:00:00,4.0,91,0,0.0,12.6,0.0
2016-01-01 02:00:00,3.3,92,0,0.0,8.8,0.0
2016-01-01 03:00:00,2.4,94,2,0.0,6.5,0.0
2016-01-01 04:00:00,1.4,96,4,0.0,6.1,0.0
2016-01-01 05:00:00,0.5,98,12,0.0,6.4,0.0
2016-01-01 06:00:00,-0.1,98,98,0.0,6.6,0.0
2016-01-01 07:00:00,-0.5,99,100,0.0,5.9,0.0
2016-01-01 08:00:00,-0.1,98,100,0.0,7.8,0.0
2016-01-01 09:00:00,-0.0,97,100,0.0,9.6,0.0
2016-01-01 10:00:00,1.5,95,100,16.0,12.7,0.0
2016-01-01 11:00:00,4.0,92,100,72.0,16.8,0.0
2016-01-01 12:00:00,5.6,89,100,114.0,17.2,0.0
2016-01-01 13:00:00,6.7,88,100,123.0,16.9,0.0
2016-01-01 14:00:00,7.3,85,100,128.0,18.2,0.0
2016-01-01 15:00:00,7.5,81,100,94.0,20.8,0.0
2016-01-01 16:00:00,7.4,82,100,37.0,21.0,0.3
2016-01-01 17:00:00,7.4,89,100,9.0,21.9,0.3
2016-01-01 18:00:00,7.6,91,100,0.0,23.0,0.2
2016-01-01 19:00:00,7.7,91,100,0.0,23.7,0.0
2016-01-01 20:00:00,7.2,93,100,0.0,24.6,0.0
2016-01-01 21:00:00,7.0,92,99,0.0,25.9,0.0
2016-01-01 22:00:00,7.0,90,100,0.0,25.9,0.0
2016-01-01 23:00:00,7.1,92,100,0.0,23.5,0.3
2016-01-02 00:00:00,7.5,92,100,0.0,23.7,0.6
2016-01-02 01:00:00,7.9,92,100,0.0,23.7,0.7
2016-01-02 02:00:00,8.2,93,100,0.0,24.2,0.4
2016-01-02 03:00:00,8.4,93,100,0.0,24.0,0.0
2016-01-02 04:00:00,8.6,92,93,0.0,23.2,0.0
2016-01-02 05:00:00,9.0,92,51,0.0,23.1,0.0
2016-01-02 06:00:00,9.2,90,23,0.0,23.2,0.0
2016-01-02 07:00:00,9.1,91,85,0.0,25.3,0.2
2016-01-02 08:00:00,8.9,89,100,0.0,27.4,1.0
2016-01-02 09:00:00,9.1,89,100,0.0,27.4,0.6
2016-01-02 10:00:00,9.3,90,100,3.0,25.4,0.0
2016-01-02 11:00:00,9.6,88,100,18.0,24.4,0.0
2016-01-02 12:00:00,9.8,86,100,35.0,26.2,0.0
2016-01-02 13:00:00,9.7,86,100,36.0,28.2,0.0
2016-01-02 14:00:00,9.5,87,100,38.0,27.8,0.2
2016-01-02 15:00:00,9.3,91,100,29.0,24.9,0.8
2016-01-02 16:00:00,9.1,95,100,11.0,19.0,0.7
2016-01-02 17:00:00,9.1,96,100,6.0,13.1,0.2
2016-01-02 18:00:00,9.3,96,100,0.0,13.8,0.0
2016-01-02 19:00:00,9.3,97,100,0.0,20.1,0.0
2016-01-02 20:00:00,10.0,94,100,0.0,22.7,0.1
2016-01-02 21:00:00,9.8,94,100,0.0,23.3,0.0
2016-01-02 22:00:00,9.7,93,100,0.0,23.6,0.2
2016-01-02 23:00:00,9.4,92,98,0.0,20.8,0.0
2016-01-03 00:00:00,9.4,90,100,0.0,21.3,0.0
2016-01-03 01:00:00,9.2,92,100,0.0,21.5,0.0
2016-01-03 02:00:00,8.6,93,100,0.0,23.2,0.0
2016-01-03 03:00:00,8.1,88,100,0.0,25.9,0.0
2016-01-03 04:00:00,7.5,81,99,0.0,24.0,0.0
2016-01-03 05:00:00,7.1,77,95,0.0,19.1,0.0
2016-01-03 06:00:00,6.5,75,100,0.0,15.8,0.0
2016-01-03 07:00:00,6.0,75,100,0.0,13.2,0.0
2016-01-03 08:00:00,5.8,82,100,0.0,14.9,0.0
2016-01-03 09:00:00,6.5,86,100,0.0,20.1,0.0
2016-01-03 10:00:00,7.4,88,100,11.0,23.8,0.2
2016-01-03 11:00:00,8.0,89,100,26.0,25.6,0.6
2016-01-03 12:00:00,8.2,91,100,34.0,29.0,0.9
2016-01-03 13:00:00,8.2,92,100,20.0,29.6,1.6
2016-01-03 14:00:00,8.3,92,100,17.0,31.1,2.4
2016-01-03 15:00:00,8.4,92,100,9.0,30.4,3.0
2016-01-03 16:00:00,8.6,92,100,7.0,24.9,2.1
2016-01-03 17:00:00,8.8,92,98,6.0,15.8,0.5
2016-01-03 18:00:00,8.9,92,78,0.0,13.9,0.0
2016-01-03 19:00:00,8.5,91,44,0.0,12.7,0.0
2016-01-03 20:00:00,6.8,94,40,0.0,12.5,0.0
2016-01-03 21:00:00,6.2,95,43,0.0,13.8,0.0
2016-01-03 22:00:00,5.9,95,59,0.0,14.1,0.0
2016-01-03 23:00:00,5.4,96,49,0.0,12.8,0.0
2016-01-04 00:00:00,5.2,96,54,0.0,13.6,0.0
2016-01-04 01:00:00,5.2,96,35,0.0,13.4,0.0
2016-01-04 02:00:00,5.5,96,22,0.0,14.8,0.0
2016-01-04 03:00:00,5.9,95,23,0.0,16.5,0.0
2016-01-04 04:00:00,5.9,95,36,0.0,15.9,0.0
2016-01-04 05:00:00,5.6,95,60,0.0,15.5,0.0
2016-01-04 06:00:00,5.4,96,64,0.0,15.2,0.0
2016-01-04 07:00:00,5.6,96,61,0.0,14.7,0.0
2016-01-04 08:00:00,5.9,94,64,0.0,16.0,0.0
2016-01-04 09:00:00,6.1,93,95,0.0,15.7,0.0
2016-01-04 10:00:00,6.5,93,97,13.0,15.8,0.3
2016-01-04 11:00:00,7.2,92,99,60.0,15.3,0.0
2016-01-04 12:00:00,8.1,90,85,103.0,15.3,0.0
2016-01-04 13:00:00,9.0,89,66,159.0,15.4,0.0
2016-01-04 14:00:00,9.2,88,54,178.0,15.5,0.0
2016-01-04 15:00:00,8.9,84,53,161.0,17.1,0.4
2016-01-04 16:00:00,8.4,86,67,84.0,15.0,0.0
2016-01-04 17:00:00,7.7,89,63,22.0,13.5,0.0
2016-01-04 18:00:00,7.2,91,58,0.0,13.3,0.0
2016-01-04 19:00:00,6.9,92,74,0.0,15.1,0.0
2016-01-04 20:00:00,6.9,91,85,0.0,15.5,0.0
2016-01-04 21:00:00,6.7,92,97,0.0,15.5,0.1
2016-01-04 22:00:00,6.7,92,97,0.0,16.8,0.1
2016-01-04 23:00:00,6.9,92,97,0.0,16.6,0.0
2016-01-05 00:00:00,6.9,92,96,0.0,18.0,0.0
2016-01-05 01:00:00,7.0,91,93,0.0,19.1,0.0
2016-01-05 02:00:00,7.2,91,98,0.0,18.4,0.0
2016-01-05 03:00:00,7.1,91,91,0.0,17.0,0.0
2016-01-05 04:00:00,6.9,91,87,0.0,15.5,0.0
2016-01-05 05:00:00,6.8,92,79,0.0,13.0,0.0
2016-01-05 06:00:00,6.9,93,87,0.0,11.6,0.0
2016-01-05 07:00:00,6.5,94,87,0.0,10.6,0.0
2016-01-05 08:00:00,6.2,95,87,0.0,10.6,0.0
2016-01-05 09:00:00,5.8,95,93,0.0,10.1,0.0
2016-01-05 10:00:00,6.0,96,93,15.0,9.7,0.0
2016-01-05 11:00:00,7.1,95,93,78.0,8.5,0.0
2016-01-05 12:00:00,8.1,92,94,133.0,9.2,0.0
